"Region","integration","cumulative"
"1","Region","integration","cumulative"
"504","Region9","0.0291935583349791","232"
"505","Region9","0.0289854556102632","231"
"506","Region9","0.0288485806993513","231"
"507","Region9","0.0287942549560433","231"
"508","Region9","0.0286397869435979","231"
"509","Region9","0.028555326420858","230"
"510","Region9","0.028535923665005","230"
"511","Region9","0.0281640976059356","230"
"512","Region9","0.0279631535358583","230"
"513","Region9","0.0279576878461184","230"
"514","Region9","0.0279129121776691","230"
"515","Region9","0.027813439509749","231"
"516","Region9","0.027547423824583","231"
"517","Region9","0.0274620419331489","230"
"518","Region9","0.0273662601276109","230"
"519","Region9","0.0273210227960181","230"
"520","Region9","0.027280738388911","230"
"521","Region9","0.0272201671292397","230"
"522","Region9","0.0271773766700188","230"
"523","Region9","0.0268487209239661","231"
"524","Region9","0.026446723237542","231"
"525","Region9","0.026254394087228","231"
"526","Region9","0.0261987712015548","230"
"527","Region9","0.0260360207834702","230"
"528","Region9","0.0259075015223681","229"
"529","Region9","0.0258905916177364","229"
"530","Region9","0.0258190396827176","229"
"531","Region9","0.0258084744633955","229"
"532","Region9","0.025777185724526","228"
"533","Region9","0.0257001441733852","228"
"534","Region9","0.0255978129000963","229"
"535","Region9","0.025360210263757","229"
"536","Region9","0.0251156722778332","228"
"537","Region9","0.0250191634135239","227"
"538","Region9","0.0249680992361668","227"
"539","Region9","0.0249152621820733","227"
"540","Region9","0.0248629113438137","227"
"541","Region9","0.0247513719893725","227"
"542","Region9","0.0246841737719403","228"
"543","Region9","0.024566504292208","228"
"544","Region9","0.0244209675176628","227"
"545","Region9","0.0244111899650286","227"
"546","Region9","0.0241555727933913","227"
"547","Region9","0.0241237180374102","227"
"548","Region9","0.0240625937718236","226"
"549","Region9","0.0240327429978358","226"
"550","Region9","0.0240065191464102","226"
"551","Region9","0.0239401518953695","226"
"552","Region9","0.02384387315993","226"
"553","Region9","0.0236772797423601","226"
"554","Region9","0.0236136939480622","226"
"555","Region9","0.0236037671009169","225"
"556","Region9","0.0235967669956412","225"
"557","Region9","0.023407613896242","225"
"558","Region9","0.0233324026328481","224"
"559","Region9","0.0232644607811605","224"
"560","Region9","0.0228705916826751","223"
"561","Region9","0.0227805813951433","224"
"562","Region9","0.0227803675606992","223"
"563","Region9","0.0224612230375135","222"
"564","Region9","0.0221805111387206","221"
"565","Region9","0.022151270665249","221"
"566","Region9","0.0220129923779368","220"
"567","Region9","0.0216806683462504","219"
"568","Region9","0.0216286306655624","220"
"569","Region9","0.0216092380422983","220"
"570","Region9","0.0216088909142403","220"
"571","Region9","0.0215705840430304","221"
"572","Region9","0.0214658809116208","221"
"573","Region9","0.0213928748516138","221"
"574","Region9","0.0212126476225787","221"
"575","Region9","0.02117270196219","221"
